genome,completeness,contamination,length,N50
SRR14932479_bin.8.fa,80.33,3.94,2656532,4366
SRR14932484_bin.1.fa,98.03,1.23,2805162,20350
SRR14932484_bin.12.fa,83.66,2.74,4127136,2417
SRR14932484_bin.13.fa,63.72,0.67,2301194,2141
SRR14932484_bin.14.fa,68.14,1.84,3085242,4565
SRR14932484_bin.18.fa,91.09,3.07,4147390,11329
SRR14932484_bin.19.fa,96.2,0.5,3803802,20071
SRR14932484_bin.20.fa,74.1,1.49,2624556,6893
SRR14932484_bin.21.fa,92.45,3.14,4120729,9213
SRR14932484_bin.22.fa,87.1,2.23,3355949,7217
SRR14932484_bin.24.fa,74.86,3.61,3294033,3789
SRR14932484_bin.5.fa,82.64,2.33,2370397,10107
SRR14932484_bin.6.fa,77.35,4.6,2859021,4719
SRR14932484_bin.8.fa,96.61,0.11,2925246,24061
SRR14932485_bin.1.fa,63.95,0.0,3032009,11232
SRR14932485_bin.10.fa,98.21,0.89,3292761,29829
SRR14932485_bin.11.fa,93.72,2.37,4839507,11531
SRR14932485_bin.12.fa,91.45,1.01,3063704,13375
SRR14932485_bin.13.fa,67.66,2.43,3196119,2832
SRR14932485_bin.14.fa,64.13,1.32,2655166,4179
SRR14932485_bin.15.fa,62.2,1.26,2374424,4980
SRR14932485_bin.16.fa,89.57,2.71,3579386,20419
SRR14932485_bin.17.fa,95.04,2.66,3089199,27740
SRR14932485_bin.18.fa,68.3,0.99,3665809,5562
SRR14932485_bin.19.fa,59.48,1.72,2560275,3702
SRR14932485_bin.2.fa,81.03,3.45,2721356,10812
SRR14932485_bin.20.fa,91.9,1.1,4624176,13421
SRR14932485_bin.21.fa,90.36,2.37,2606783,12278
SRR14932485_bin.22.fa,62.41,0.86,1915583,6253
SRR14932485_bin.24.fa,89.89,3.09,3136125,16700
SRR14932485_bin.26.fa,66.38,0.0,1527546,3685
SRR14932485_bin.28.fa,62.07,0.86,1878716,5897
SRR14932485_bin.3.fa,78.4,1.16,3494945,7564
SRR14932485_bin.31.fa,99.18,0.56,4057029,49324
SRR14932485_bin.32.fa,95.83,0.93,2398356,43020
SRR14932485_bin.33.fa,87.97,3.85,5094212,7542
SRR14932485_bin.34.fa,95.26,0.26,4402102,12656
SRR14932485_bin.36.fa,60.47,0.94,508185,4266
SRR14932485_bin.37.fa,62.87,0.31,606899,12082
SRR14932485_bin.40.fa,94.33,1.05,4406476,68081
SRR14932485_bin.41.fa,95.73,4.18,4059992,28407
SRR14932485_bin.43.fa,88.41,1.0,4804881,36125
SRR14932485_bin.44.fa,89.34,1.79,3927329,15564
SRR14932485_bin.45.fa,64.21,2.52,1271377,2904
SRR14932485_bin.46.fa,72.33,2.25,1179841,5519
SRR14932485_bin.47.fa,59.03,0.0,540579,3158
SRR14932485_bin.49.fa,90.6,2.7,3290973,23617
SRR14932485_bin.5.fa,84.9,2.32,3061810,5943
SRR14932485_bin.52.fa,67.73,1.12,1823366,2470
SRR14932485_bin.53.fa,64.28,2.54,2346280,4605
SRR14932485_bin.54.fa,61.1,0.86,605668,6990
SRR14932485_bin.55.fa,87.7,1.48,3819611,8381
SRR14932485_bin.56.fa,73.62,1.38,1569367,7720
SRR14932485_bin.58.fa,93.87,3.87,5459897,28340
SRR14932485_bin.59.fa,84.52,4.78,3337723,5595
SRR14932485_bin.6.fa,73.2,2.87,3079771,3978
SRR14932485_bin.60.fa,98.1,1.59,5267013,24598
SRR14932485_bin.61.fa,58.93,1.6,5172920,3027
SRR14932485_bin.62.fa,57.04,0.5,3010269,3190
SRR14932485_bin.64.fa,90.31,3.64,5033878,30678
SRR14932485_bin.65.fa,94.58,1.64,3041513,20948
SRR14932485_bin.66.fa,96.73,0.11,3226338,14056
SRR14932485_bin.67.fa,89.48,4.22,5908288,10433
SRR14932485_bin.68.fa,58.91,0.99,772226,12643
SRR14932485_bin.69.fa,80.33,4.29,2225840,7697
SRR14932485_bin.70.fa,78.76,1.25,2912060,7073
SRR14932485_bin.71.fa,87.1,1.53,2580707,14415
SRR14932485_bin.73.fa,55.07,0.0,3010658,3093
SRR14932485_bin.75.fa,52.09,0.0,383583,2980
SRR14932485_bin.76.fa,65.68,3.0,3243203,2849
SRR14932485_bin.77.fa,63.1,0.0,2613398,4314
SRR14932485_bin.78.fa,58.45,1.69,838805,6108
SRR14932485_bin.79.fa,85.68,6.44,3785495,5855
SRR14932485_bin.82.fa,50.95,0.0,703726,1862
SRR14932486_bin.1.fa,64.66,0.86,3312208,3541
SRR14932486_bin.10.fa,82.21,3.37,1930309,18038
SRR14932486_bin.11.fa,82.72,1.25,3021721,6976
SRR14932486_bin.14.fa,93.9,1.86,2749163,8343
SRR14932486_bin.15.fa,85.36,1.99,3870718,12660
SRR14932486_bin.17.fa,66.24,1.44,1123708,3502
SRR14932486_bin.18.fa,65.82,0.0,1659362,6635
SRR14932486_bin.19.fa,76.38,2.72,2416295,2979
SRR14932486_bin.20.fa,88.68,1.11,2697475,7572
SRR14932486_bin.21.fa,52.09,0.0,3272845,4425
SRR14932486_bin.23.fa,84.47,0.87,2834734,7893
SRR14932486_bin.24.fa,78.52,0.76,2932773,5362
SRR14932486_bin.25.fa,91.69,0.82,3673041,26104
SRR14932486_bin.28.fa,90.15,2.11,9279541,9008
SRR14932486_bin.3.fa,74.65,2.17,2998632,7696
SRR14932486_bin.30.fa,89.91,2.25,2546778,36330
SRR14932486_bin.34.fa,98.44,0.16,2480561,34107
SRR14932486_bin.35.fa,65.26,1.08,2471503,3060
SRR14932486_bin.36.fa,77.89,0.0,1128287,47867
SRR14932486_bin.39.fa,73.96,1.76,1943224,2780
SRR14932486_bin.42.fa,63.98,0.1,668323,5500
SRR14932486_bin.44.fa,83.99,2.33,3542093,7308
SRR14932486_bin.45.fa,94.87,4.32,3677281,19312
SRR14932486_bin.46.fa,72.26,3.51,9252761,7943
SRR14932486_bin.48.fa,63.76,1.9,2388869,6750
SRR14932486_bin.49.fa,73.32,3.85,5152393,5316
SRR14932486_bin.5.fa,74.72,2.93,3555545,4272
SRR14932486_bin.51.fa,91.63,1.54,4655527,11161
SRR14932486_bin.53.fa,79.11,4.65,4362191,4009
SRR14932486_bin.54.fa,73.1,1.21,2104814,3153
SRR14932486_bin.56.fa,78.07,2.81,3609456,4760
SRR14932486_bin.6.fa,67.82,0.0,1625537,5480
SRR14932486_bin.60.fa,60.38,1.42,1534185,2173
SRR14932486_bin.7.fa,74.1,3.82,911939,7372
SRR14932486_bin.9.fa,74.83,2.59,1426718,6142
SRR14932490_bin.13.fa,87.08,2.63,2702017,10181
SRR14932490_bin.14.fa,77.62,3.34,3279030,6851
SRR14932490_bin.15.fa,64.02,1.09,3118443,3028
SRR14932490_bin.16.fa,97.28,1.5,4261133,24351
SRR14932490_bin.17.fa,95.37,1.43,2939268,24925
SRR14932490_bin.18.fa,93.56,0.74,3204184,37131
SRR14932490_bin.19.fa,83.57,3.71,2782333,4972
SRR14932490_bin.2.fa,92.78,4.72,3841084,5341
SRR14932490_bin.22.fa,55.17,0.0,2909495,4122
SRR14932490_bin.24.fa,56.98,0.02,1961453,2727
SRR14932490_bin.26.fa,77.87,2.31,3301331,7911
SRR14932490_bin.27.fa,84.42,1.77,3487695,10259
SRR14932490_bin.28.fa,88.96,4.19,5756522,9472
SRR14932490_bin.29.fa,69.83,0.0,1049481,11894
SRR14932490_bin.3.fa,85.55,3.3,2505108,3884
SRR14932490_bin.30.fa,88.52,1.07,2607569,9622
SRR14932490_bin.31.fa,65.28,1.98,1995269,2740
SRR14932490_bin.34.fa,70.17,3.19,2203157,3139
SRR14932490_bin.35.fa,64.54,1.37,1010617,1968
SRR14932490_bin.4.fa,86.67,2.8,3079423,6758
SRR14932490_bin.5.fa,85.62,1.74,2934178,5330
SRR14932490_bin.6.fa,88.12,1.25,3510732,4742
SRR14932490_bin.7.fa,63.86,0.85,2337346,3201
SRR14932490_bin.8.fa,80.34,0.27,2633608,5658
SRR14932490_bin.9.fa,68.29,1.82,1103836,3330
SRR14932496_bin.1.fa,65.71,1.16,4119822,3607
SRR14932496_bin.10.fa,92.82,4.7,3653859,7498
SRR14932496_bin.13.fa,82.73,2.63,4164259,9133
SRR14932496_bin.14.fa,79.75,2.14,6011814,6415
SRR14932496_bin.15.fa,65.68,1.12,2703988,3796
SRR14932496_bin.17.fa,72.57,1.48,2158350,6187
SRR14932496_bin.18.fa,83.42,3.15,2549160,9531
SRR14932496_bin.19.fa,93.99,4.27,4430983,21402
SRR14932496_bin.20.fa,82.56,3.58,2967602,4541
SRR14932496_bin.22.fa,73.8,4.47,7215529,4425
SRR14932496_bin.26.fa,83.62,4.86,2209449,6350
SRR14932496_bin.28.fa,96.13,0.73,4342460,10069
SRR14932496_bin.3.fa,69.56,1.57,3176941,4498
SRR14932496_bin.31.fa,100.0,2.11,5998393,30302
SRR14932496_bin.32.fa,75.59,1.79,2740749,5686
SRR14932496_bin.33.fa,83.1,4.56,3580726,4958
SRR14932496_bin.34.fa,75.38,3.44,3830423,6430
SRR14932496_bin.36.fa,70.18,3.19,4438252,3675
SRR14932496_bin.37.fa,78.75,5.32,4122884,6664
SRR14932496_bin.38.fa,64.72,2.67,2616250,3954
SRR14932496_bin.39.fa,79.31,0.0,4154439,12349
SRR14932496_bin.4.fa,74.72,0.0,2730546,7488
SRR14932496_bin.40.fa,61.55,1.7,2718697,2246
SRR14932496_bin.41.fa,83.87,3.51,2424347,4311
SRR14932496_bin.43.fa,52.74,0.41,3519185,2525
SRR14932496_bin.44.fa,59.51,0.1,1003481,1615
SRR14932496_bin.6.fa,81.63,1.04,4728625,5816
SRR14932496_bin.7.fa,94.83,4.68,3297101,10064
SRR14932496_bin.8.fa,79.85,3.34,2943474,4412
SRR14932496_bin.9.fa,51.39,0.0,3150748,7412
SRR14932505_bin.1.fa,67.21,1.23,3241655,3270
SRR14932505_bin.10.fa,84.89,2.9,4195840,2844
SRR14932505_bin.12.fa,59.8,0.16,3432834,4346
SRR14932505_bin.13.fa,69.79,1.3,1928302,3348
SRR14932505_bin.14.fa,81.75,2.76,3188780,4113
SRR14932505_bin.15.fa,81.55,5.93,3503551,3993
SRR14932505_bin.16.fa,75.5,3.22,3099503,7420
SRR14932505_bin.18.fa,83.21,2.97,4337325,9096
SRR14932505_bin.19.fa,64.49,1.41,1497674,4888
SRR14932505_bin.2.fa,72.78,3.37,2843445,3158
SRR14932505_bin.22.fa,54.31,0.0,3796067,3911
SRR14932505_bin.25.fa,59.14,0.86,2933150,14438
SRR14932505_bin.26.fa,72.96,3.73,2566385,2262
SRR14932505_bin.3.fa,71.97,4.19,2776182,2617
SRR14932505_bin.7.fa,84.04,1.49,2775039,4323
SRR14932505_bin.8.fa,79.75,2.47,1979170,4728
SRR14932506_bin.10.fa,87.37,1.45,3234318,5304
SRR14932506_bin.14.fa,70.0,1.91,2044461,4483
SRR14932506_bin.15.fa,85.16,4.09,4373774,9933
SRR14932506_bin.16.fa,82.87,5.13,3475800,5014
SRR14932506_bin.17.fa,62.14,2.36,1277619,4596
SRR14932506_bin.18.fa,96.86,1.14,5068064,39517
SRR14932506_bin.19.fa,74.02,1.41,2062618,3670
SRR14932506_bin.21.fa,65.15,1.28,2575884,11932
SRR14932506_bin.22.fa,90.2,3.38,3532127,8347
SRR14932506_bin.23.fa,88.48,7.2,4597573,2778
SRR14932506_bin.28.fa,58.62,1.72,2104210,5114
SRR14932506_bin.29.fa,70.23,2.15,2669320,3512
SRR14932506_bin.30.fa,70.1,1.09,2571219,3187
SRR14932506_bin.31.fa,80.65,3.73,3029425,4571
SRR14932506_bin.32.fa,81.87,3.37,3881348,6186
SRR14932506_bin.8.fa,65.7,1.92,3094506,3602
SRR14932506_bin.9.fa,77.35,2.5,3647695,3325
SRR14932507_bin.1.fa,98.85,0.73,4249756,41781
SRR14932507_bin.10.fa,92.66,6.27,3818438,4277
SRR14932507_bin.11.fa,87.97,2.31,5600031,8501
SRR14932507_bin.13.fa,66.29,1.12,758104,5790
SRR14932507_bin.14.fa,99.26,1.74,4342021,27034
SRR14932507_bin.15.fa,83.79,1.6,3929741,4407
SRR14932507_bin.16.fa,57.02,0.0,3174420,2555
SRR14932507_bin.18.fa,92.44,4.49,2389279,13905
SRR14932507_bin.19.fa,86.65,2.26,2531215,6722
SRR14932507_bin.2.fa,79.57,2.96,3082885,4477
SRR14932507_bin.20.fa,75.12,3.11,3124088,5757
SRR14932507_bin.21.fa,74.66,1.77,3170600,4911
SRR14932507_bin.22.fa,63.08,0.85,706793,200183
SRR14932507_bin.23.fa,89.45,1.35,3752814,8562
SRR14932507_bin.24.fa,56.41,0.0,604610,4109
SRR14932507_bin.25.fa,61.36,2.14,2681297,5902
SRR14932507_bin.26.fa,99.01,0.99,4033971,46334
SRR14932507_bin.29.fa,76.93,2.9,2450406,3724
SRR14932507_bin.3.fa,99.12,1.83,4010156,29177
SRR14932507_bin.5.fa,60.86,2.06,1594251,1842
SRR14932507_bin.6.fa,96.51,0.32,5044044,40820
SRR14932507_bin.7.fa,96.63,1.12,2499588,20711
SRR14932507_bin.8.fa,91.74,1.25,1814911,7026
SRR14932507_bin.9.fa,69.88,0.69,2771512,11528
SRR14932508_bin.1.fa,70.1,1.67,1706763,4544
SRR14932508_bin.3.fa,69.24,2.53,2401580,3593
SRR14932508_bin.4.fa,71.52,0.24,1891974,6537
SRR14932508_bin.5.fa,58.34,1.55,1509141,3264
SRR14932515_bin.10.fa,50.71,0.0,2604368,3885
SRR14932515_bin.11.fa,74.11,0.0,520719,16195
SRR14932515_bin.12.fa,93.55,4.47,3655784,12625
SRR14932515_bin.13.fa,58.11,0.0,818417,10715
SRR14932515_bin.14.fa,87.83,3.82,2807011,6801
SRR14932515_bin.16.fa,91.15,1.61,4605548,9856
SRR14932515_bin.17.fa,88.43,2.28,3835654,8524
SRR14932515_bin.18.fa,78.4,0.9,2839636,13722
SRR14932515_bin.2.fa,83.17,2.22,3068890,21323
SRR14932515_bin.20.fa,94.76,2.17,3776811,15003
SRR14932515_bin.21.fa,71.93,1.75,2713194,5532
SRR14932515_bin.22.fa,81.83,5.77,2052731,4257
SRR14932515_bin.23.fa,62.38,0.0,1994821,3700
SRR14932515_bin.24.fa,79.75,2.22,2289729,4904
SRR14932515_bin.25.fa,72.22,1.71,2136978,6343
SRR14932515_bin.26.fa,83.84,5.4,8659818,8119
SRR14932515_bin.27.fa,76.64,1.65,2593452,3506
SRR14932515_bin.28.fa,78.52,0.33,2982367,6949
SRR14932515_bin.29.fa,59.32,0.85,899766,22930
SRR14932515_bin.30.fa,86.79,2.62,3249801,10540
SRR14932515_bin.31.fa,64.14,2.66,2323445,4081
SRR14932515_bin.33.fa,87.51,6.9,2976677,8774
SRR14932515_bin.35.fa,89.8,3.35,3391768,5301
SRR14932515_bin.37.fa,93.29,3.65,2193595,5433
SRR14932515_bin.38.fa,93.85,3.28,3244222,7421
SRR14932515_bin.39.fa,100.0,0.49,6679286,71286
SRR14932515_bin.4.fa,95.8,0.74,3434097,18375
SRR14932515_bin.40.fa,88.66,3.47,4506314,13174
SRR14932515_bin.42.fa,67.66,0.99,1120560,10929
SRR14932515_bin.43.fa,80.3,5.34,2590386,6307
SRR14932515_bin.44.fa,57.83,0.85,980561,12196
SRR14932515_bin.45.fa,78.67,3.83,3170631,5758
SRR14932515_bin.47.fa,88.23,0.74,6140517,7623
SRR14932515_bin.48.fa,88.38,0.45,3093340,11938
SRR14932515_bin.49.fa,94.56,1.47,2578160,18249
SRR14932515_bin.6.fa,89.93,2.56,2706641,10834
SRR14932515_bin.8.fa,100.0,0.48,3111659,139242
SRR14932515_bin.9.fa,99.31,0.87,3333522,30990
SRR14932520_bin.1.fa,83.04,1.88,2126416,12136
SRR14932520_bin.10.fa,86.5,4.77,3223172,3556
SRR14932520_bin.11.fa,91.82,0.91,3709521,61792
SRR14932520_bin.12.fa,64.43,2.44,2601438,2325
SRR14932520_bin.14.fa,66.35,1.92,3676368,2701
SRR14932520_bin.16.fa,95.45,6.09,4600391,9220
SRR14932520_bin.17.fa,85.45,0.91,3619709,6464
SRR14932520_bin.18.fa,89.73,1.56,5769487,6493
SRR14932520_bin.2.fa,97.04,0.74,5144110,9119
SRR14932520_bin.3.fa,94.78,3.99,3679003,6054
SRR14932520_bin.4.fa,82.72,2.25,3174083,4252
SRR14932520_bin.5.fa,63.87,1.11,3846608,2184
SRR14932520_bin.6.fa,77.87,3.27,2668362,3187
SRR14932520_bin.9.fa,76.18,1.48,2064652,3724
SRR14932523_bin.1.fa,93.75,0.87,2320996,44110
SRR14932523_bin.11.fa,80.0,0.53,2491434,6449
SRR14932523_bin.12.fa,62.13,1.89,820500,6466
SRR14932523_bin.13.fa,91.28,2.85,3769653,7320
SRR14932523_bin.14.fa,95.27,0.62,3914072,20051
SRR14932523_bin.15.fa,68.35,2.85,2413783,3563
SRR14932523_bin.16.fa,83.72,3.29,3109040,6973
SRR14932523_bin.17.fa,99.01,0.99,3901887,22723
SRR14932523_bin.18.fa,76.93,3.44,1804164,3466
SRR14932523_bin.2.fa,77.18,4.23,734209,9548
SRR14932523_bin.20.fa,72.74,2.96,2747236,3578
SRR14932523_bin.21.fa,70.69,0.0,3475887,6183
SRR14932523_bin.22.fa,71.34,0.23,1463108,3625
SRR14932523_bin.23.fa,59.29,0.0,623156,3364
SRR14932523_bin.24.fa,90.26,1.65,3267426,19263
SRR14932523_bin.25.fa,75.62,1.85,2079117,3220
SRR14932523_bin.26.fa,77.4,2.46,2657521,7359
SRR14932523_bin.27.fa,67.52,1.64,4472002,2428
SRR14932523_bin.28.fa,86.6,1.19,2061900,8159
SRR14932523_bin.29.fa,89.49,0.81,3788705,8644
SRR14932523_bin.30.fa,96.63,0.07,2725219,41201
SRR14932523_bin.31.fa,81.12,5.58,3026912,10291
SRR14932523_bin.32.fa,89.35,0.33,1794429,15198
SRR14932523_bin.33.fa,63.35,0.42,3663216,2053
SRR14932523_bin.34.fa,94.59,0.21,4091571,32995
SRR14932523_bin.35.fa,81.37,4.29,2853281,3851
SRR14932523_bin.36.fa,80.56,1.79,3347507,4901
SRR14932523_bin.38.fa,72.41,0.99,878161,20225
SRR14932523_bin.39.fa,92.95,2.06,4838070,16360
SRR14932523_bin.4.fa,97.16,0.79,3398551,59496
SRR14932523_bin.41.fa,71.55,0.0,1785062,4697
SRR14932523_bin.42.fa,83.11,2.18,4916081,3042
SRR14932523_bin.45.fa,93.63,2.46,3882211,11584
SRR14932523_bin.46.fa,88.27,3.57,2232257,8514
SRR14932523_bin.47.fa,79.58,2.93,2686050,7169
SRR14932523_bin.50.fa,71.83,2.23,2279481,5184
SRR14932523_bin.53.fa,61.33,2.02,2918647,2246
SRR14932523_bin.56.fa,56.32,0.17,1636038,2511
SRR14932523_bin.6.fa,70.52,2.97,2256683,6761
SRR14932523_bin.7.fa,75.95,1.77,2522327,3900
SRR14932523_bin.8.fa,83.43,2.56,4915838,3234
SRR14932523_bin.9.fa,75.94,1.11,3164707,2656
SRR14932524_bin.1.fa,75.09,1.37,3100586,2621
SRR14932524_bin.10.fa,73.34,1.73,2720669,3381
SRR14932524_bin.11.fa,84.23,3.37,3460524,8758
SRR14932524_bin.13.fa,63.5,2.64,2180751,2588
SRR14932524_bin.16.fa,87.85,1.85,2930909,10821
SRR14932524_bin.17.fa,79.78,3.69,2942886,4439
SRR14932524_bin.18.fa,89.39,1.77,3377725,6133
SRR14932524_bin.19.fa,95.3,2.73,2677043,13575
SRR14932524_bin.2.fa,81.5,1.79,3081814,5300
SRR14932524_bin.20.fa,92.03,0.74,4459035,24136
SRR14932524_bin.21.fa,50.95,0.0,2525751,1938
SRR14932524_bin.22.fa,67.53,2.46,3111891,3609
SRR14932524_bin.24.fa,96.37,0.87,4455588,82763
SRR14932524_bin.26.fa,82.51,2.58,2888879,8476
SRR14932524_bin.28.fa,73.38,2.89,3368563,3463
SRR14932524_bin.29.fa,94.93,1.98,3574270,17589
SRR14932524_bin.3.fa,64.06,0.16,549527,4344
SRR14932524_bin.31.fa,70.52,1.5,981848,12232
SRR14932524_bin.32.fa,68.99,2.98,7161276,2334
SRR14932524_bin.33.fa,80.27,1.25,2283049,4649
SRR14932524_bin.34.fa,86.97,1.58,3083821,44840
SRR14932524_bin.36.fa,61.54,1.76,2776744,4765
SRR14932524_bin.37.fa,82.33,4.86,7602440,7551
SRR14932524_bin.38.fa,61.83,2.04,3986382,3111
SRR14932524_bin.39.fa,91.58,0.65,3863423,8619
SRR14932524_bin.4.fa,73.39,2.53,6053084,3620
SRR14932524_bin.40.fa,72.26,0.0,1251575,9149
SRR14932524_bin.6.fa,80.58,1.57,3352793,4761
SRR14932524_bin.7.fa,91.19,2.96,3837817,10855
SRR14932524_bin.8.fa,68.89,1.48,3607121,3332
SRR14932524_bin.9.fa,78.86,1.49,5418359,4216
SRR14932525_bin.1.fa,94.34,5.53,4173018,11124
SRR14932525_bin.10.fa,90.1,1.49,3740069,48981
SRR14932525_bin.14.fa,73.04,3.84,2171277,3603
SRR14932525_bin.15.fa,82.7,2.74,5143700,9025
SRR14932525_bin.16.fa,80.85,0.41,2709528,4722
SRR14932525_bin.18.fa,96.78,1.49,5274907,25468
SRR14932525_bin.19.fa,86.01,6.86,4963136,5454
SRR14932525_bin.2.fa,88.16,3.2,2442470,4867
SRR14932525_bin.20.fa,87.4,4.45,7592394,4613
SRR14932525_bin.21.fa,65.54,2.86,3098030,2657
SRR14932525_bin.3.fa,73.84,2.89,2516677,3165
SRR14932525_bin.6.fa,92.46,1.82,4293347,6783
SRR14932525_bin.7.fa,93.35,1.94,3852849,44028
SRR14932525_bin.8.fa,65.99,2.96,3341272,3522
SRR14932525_bin.9.fa,67.69,1.67,2722605,3610
SRR14932530_bin.1.fa,78.51,3.25,2785238,4849
SRR14932530_bin.11.fa,74.16,3.33,2809743,2898
SRR14932530_bin.12.fa,84.9,4.24,7098495,4462
SRR14932530_bin.13.fa,73.06,3.37,2767430,12083
SRR14932530_bin.16.fa,97.49,2.88,4109449,14952
SRR14932530_bin.17.fa,93.1,4.07,2569147,4333
SRR14932530_bin.19.fa,67.55,0.0,2042900,12379
SRR14932530_bin.2.fa,65.62,1.9,5179381,2731
SRR14932530_bin.20.fa,62.41,1.72,1330950,5697
SRR14932530_bin.21.fa,83.11,3.66,3215907,4432
SRR14932530_bin.22.fa,77.22,3.41,3794269,5304
SRR14932530_bin.23.fa,78.19,3.73,3284319,4811
SRR14932530_bin.24.fa,75.05,3.03,3932701,4992
SRR14932530_bin.25.fa,61.47,0.71,2538961,4112
SRR14932530_bin.26.fa,93.58,4.68,3693223,15592
SRR14932530_bin.27.fa,91.17,0.9,2841651,8881
SRR14932530_bin.28.fa,68.73,2.04,1478409,3988
SRR14932530_bin.30.fa,82.59,0.95,2857677,31952
SRR14932530_bin.31.fa,62.68,2.31,2200234,2230
SRR14932530_bin.5.fa,65.52,0.69,3447528,4589
SRR14932530_bin.6.fa,72.88,2.12,2390756,3379
SRR14932530_bin.7.fa,74.18,4.66,3255465,3082
SRR14932530_bin.9.fa,51.69,0.0,1979425,4359
SRR14932531_bin.1.fa,81.16,4.9,2556195,6770
SRR14932531_bin.10.fa,85.63,4.03,3259959,3671
SRR14932531_bin.11.fa,87.9,2.54,3303614,5448
SRR14932531_bin.12.fa,88.06,2.67,2906718,6334
SRR14932531_bin.13.fa,98.3,1.26,3594482,27656
SRR14932531_bin.14.fa,89.09,3.86,3294597,7403
SRR14932531_bin.17.fa,62.87,1.72,1380529,2160
SRR14932531_bin.18.fa,83.27,5.0,3002627,4375
SRR14932531_bin.19.fa,77.94,4.01,6864538,3628
SRR14932531_bin.20.fa,77.61,2.22,2970799,6660
SRR14932531_bin.21.fa,78.52,3.75,1895743,4408
SRR14932531_bin.23.fa,69.25,2.77,2938229,2140
SRR14932531_bin.25.fa,57.67,0.85,1349333,2224
SRR14932531_bin.4.fa,80.26,3.34,4300982,4819
SRR14932531_bin.5.fa,86.9,3.05,3674018,5903
SRR14932531_bin.7.fa,97.54,0.18,2651926,15334
SRR14932531_bin.8.fa,65.55,1.14,5584742,7729
SRR14932533_bin.1.fa,66.62,0.38,1922499,5787
SRR14932533_bin.11.fa,61.67,1.11,4955960,2827
SRR14932533_bin.12.fa,62.55,1.72,2886202,5144
SRR14932533_bin.13.fa,84.63,3.94,4321050,4538
SRR14932533_bin.15.fa,89.14,3.76,3540574,8374
SRR14932533_bin.16.fa,66.48,2.68,2589455,2288
SRR14932533_bin.17.fa,96.74,2.8,3916209,12019
SRR14932533_bin.19.fa,96.8,0.02,3717442,13620
SRR14932533_bin.2.fa,68.06,0.93,952440,61559
SRR14932533_bin.21.fa,75.08,1.4,3180141,2801
SRR14932533_bin.22.fa,93.03,0.18,3338463,19227
SRR14932533_bin.23.fa,61.67,1.11,4984328,2856
SRR14932533_bin.24.fa,95.37,2.24,4948750,25153
SRR14932533_bin.25.fa,51.21,0.0,3267878,17533
SRR14932533_bin.27.fa,61.99,0.0,4495950,3991
SRR14932533_bin.28.fa,80.67,1.89,4186133,4118
SRR14932533_bin.29.fa,96.99,0.49,3710836,68833
SRR14932533_bin.3.fa,92.23,2.47,6281090,10658
SRR14932533_bin.30.fa,87.13,6.92,2622469,7286
SRR14932533_bin.31.fa,95.93,0.66,2797566,27341
SRR14932533_bin.33.fa,58.77,1.75,2811122,7043
SRR14932533_bin.34.fa,74.13,3.79,2519280,6180
SRR14932533_bin.35.fa,58.97,0.43,2189199,6702
SRR14932533_bin.36.fa,90.28,0.93,2648115,11024
SRR14932533_bin.38.fa,71.76,0.46,815124,161450
SRR14932533_bin.39.fa,52.59,0.44,1961690,2775
SRR14932533_bin.40.fa,66.48,1.26,709721,9039
SRR14932533_bin.43.fa,57.95,0.0,684873,35025
SRR14932533_bin.44.fa,81.69,2.3,2830447,4065
SRR14932533_bin.46.fa,69.3,1.75,2515337,5811
SRR14932533_bin.48.fa,59.01,1.08,2504339,1826
SRR14932533_bin.51.fa,65.28,2.76,2796090,2667
SRR14932533_bin.6.fa,88.07,0.55,3261215,6993
SRR14932533_bin.8.fa,94.84,2.04,4610362,8406
SRR14932533_bin.9.fa,94.65,1.75,4003875,22316
SRR14932541_bin.1.fa,68.93,2.02,3664966,2665
SRR14932541_bin.10.fa,97.27,1.79,3798721,25560
SRR14932541_bin.11.fa,64.8,1.07,2709968,3101
SRR14932541_bin.13.fa,82.38,3.62,3084038,5418
SRR14932541_bin.14.fa,73.12,1.07,3099456,4377
SRR14932541_bin.15.fa,81.03,0.0,1244374,4491
SRR14932541_bin.17.fa,86.07,3.72,3691639,5889
SRR14932541_bin.19.fa,87.9,0.2,2069318,6192
SRR14932541_bin.2.fa,82.8,2.4,2699445,5662
SRR14932541_bin.21.fa,72.69,1.25,2757432,3902
SRR14932541_bin.22.fa,98.51,3.82,4038704,17697
SRR14932541_bin.24.fa,86.46,6.52,4234457,5551
SRR14932541_bin.26.fa,98.03,0.0,3432061,102736
SRR14932541_bin.3.fa,61.46,1.0,4366114,2198
SRR14932541_bin.5.fa,72.16,3.14,4359768,5556
SRR14932541_bin.9.fa,82.5,4.75,3525468,5468
SRR14932549_bin.11.fa,76.25,1.08,6795259,10927
SRR14932549_bin.12.fa,65.87,1.76,4842041,3604
SRR14932549_bin.13.fa,75.89,2.33,3801225,7385
SRR14932549_bin.14.fa,85.81,1.99,2578942,7967
SRR14932549_bin.15.fa,86.94,5.07,3617621,4481
SRR14932549_bin.16.fa,91.21,5.32,5795922,45921
SRR14932549_bin.17.fa,61.49,0.34,1618115,3994
SRR14932549_bin.20.fa,95.2,0.99,3180981,39305
SRR14932549_bin.21.fa,75.59,2.72,2677226,2820
SRR14932549_bin.22.fa,67.33,1.98,913371,10844
SRR14932549_bin.26.fa,93.55,6.01,4817588,8849
